id,length,PKW_allowed
-550432833#2_0,36.17,no
-550432837#1_0,88.98,no
-550432840#2_0,39.94,no
-550432841#1_0,46.78,no
-555161515#1_0,113.92,no
-558634424#3_0,95.24,no
-560707572#2_0,203.96,no
-563070453#0_0,113.37,no
-563070476#1_0,52.79,no
-565560611#2_0,128.04,no
-566100297#0_0,72.84,no
-566100297#2_0,19.88,no
-566100297#3_0,22.81,no
-566100297#4_0,45.23,no
-566100297#6_0,97.08,no
-5771348#2_0,51.13,no
-593076012#1_0,117.75,no
-596103315#2_0,146.65,no
-601313541_0,59.49,no
-601313557#4_0,75.73,no
-601313558#1_0,52.24,no
-601718666#1_0,93.77,no
-60233930#2_0,98.57,no
-60447878_0,47.26,no
-60505837#1_0,61.31,no
-627360923_0,99.71,no
-641490961#1_0,134.3,no
-64659700#0_0,132.82,no
-64659700#2_0,58.6,no
-651999512#2_0,74.27,no
-670738521_0,77.62,no
-722646198_0,19.4,no
-821493797#1_0,32.62,no
-828445693#1_0,107.46,no
-855557607_0,68.11,no
-860373105#0_0,48.97,no
-860373105#1_0,40.49,no
-860373105#4_0,67.44,no
-86145636#2_0,101.82,no
-86145639#0_0,27.39,no
-86145639#2_0,57.97,no
-86145639#5_0,103.7,no
-92142139_0,12.12,no
-942285773#1_0,45.73,no
-942348910#1_0,53.79,no
-942456035#1_0,193.01,no
-95474067#1_0,70.78,no
-968872142#0_0,12.76,no
-968872142#1_0,14.44,no
-968872143_0,49.54,no
-970871269_0,128.32,no
#NAME?,63.51,no
#NAME?,102.2,no
#NAME?,158.91,no
#NAME?,56.63,no
#NAME?,90.04,no
#NAME?,82.88,no
#NAME?,58.82,no
#NAME?,112,no
#NAME?,100.18,no
#NAME?,87.83,no
#NAME?,90.69,no
#NAME?,113.51,no
#NAME?,147.53,no
#NAME?,64.3,no
#NAME?,169.98,no
#NAME?,63.95,no
#NAME?,87.75,no
#NAME?,75.25,no
#NAME?,99.47,no
#NAME?,150.02,no
#NAME?,72.16,no
#NAME?,95.88,no
#NAME?,104.4,no
#NAME?,115.19,no
#NAME?,123.5,no
#NAME?,43.43,no
#NAME?,100.55,no
#NAME?,95.07,no
#NAME?,67.97,no
#NAME?,89.13,no
#NAME?,85.41,no
#NAME?,88.49,no
#NAME?,42.23,no
#NAME?,100.5,no
#NAME?,87.95,no
#NAME?,54.91,no
#NAME?,123.4,no
#NAME?,125.03,no
#NAME?,33.24,no
#NAME?,48.59,no
#NAME?,178.76,no
#NAME?,144.55,no
#NAME?,76.31,no
#NAME?,43.8,no
#NAME?,39.29,no
#NAME?,34.15,no
#NAME?,74.68,no
#NAME?,69.67,no
#NAME?,49.93,no
#NAME?,93.52,no
#NAME?,96.26,no
#NAME?,67.05,no
#NAME?,93.49,no
#NAME?,111.43,no
#NAME?,54.44,no
#NAME?,78.81,no
#NAME?,54.44,no
#NAME?,74.04,no
#NAME?,44.23,no
#NAME?,53.54,no
#NAME?,28.25,no
#NAME?,29.36,no
#NAME?,91.09,no
#NAME?,92.63,no
#NAME?,167.2,no
#NAME?,113.06,no
10414497#2_0,43.23,no
10418321#0_0,33.73,no
1056324193#2_0,70.49,no
10594647#0_0,61.31,no
1062629833_0,243.33,no
10678336#0_0,98.05,no
10678336#0.97_0,128.58,no
1078174821_0,75.38,no
1137649511#0_0,54.66,no
1163529329_0,15.36,no
1163569502#0_0,64.1,no
11667106#0_0,114.49,no
11667106#2_0,70.64,no
11667106#5_0,56.99,no
11916106#0_0,98.89,no
120613500#0_0,16.66,no
120613500#1_0,86.98,no
120613501_0,90.45,no
120613502_0,51.42,no
120613502.32_0,62.95,no
120613506#0_0,215.28,no
12618874#0_0,111.16,no
12618874#0.111_0,116.61,no
136124103_0,14.42,no
136124104#0_0,35.86,no
136617339#0_0,41.99,no
138424035#0_0,254.14,no
141885660#2_0,57.6,no
141887992#2_0,68.88,no
14388986#0_0,29.14,no
14389891#0_0,116.04,no
14389891#4_0,94.83,no
145204590#0_0,31.42,no
145204590#2_0,221.22,no
146778063#0_0,110.07,no
146778074#3_0,136.84,no
146783879#0_0,72.81,no
147633771#0_0,31.94,no
147636167_0,175.69,no
147759326#0_0,39.56,no
148349696#0_0,50.85,no
148349697#1_0,57.42,no
149233866#0_0,85.9,no
14947691#2_0,180.97,no
150995095#0_0,91.32,no
150995095#4_0,52.79,no
150995110#0_0,84.28,no
150996033_0,17.22,no
15677654#0_0,88.04,no
15801838#0_0,37.36,no
172222117#0_0,95.07,no
188708009_0,107.31,no
188708010#0_0,77.13,no
188708011_0,68.11,no
188867142#0_0,96.13,no
198426622_0,57.51,no
20020535#0_0,53.94,no
20020535#0.160_0,172.8,no
20020535#0.52_0,109.85,no
218294235#0_0,43.93,no
23570562#0_0,44.34,no
27014767_0,90.97,no
27014785#0_0,68.15,no
27331400#0_0,11.12,no
27331400#1_0,158.34,no
27331408#0_0,92.42,no
27361189#0_0,39.05,no
27361348#0_0,136.92,no
27410107#0_0,127.2,no
27410182#0_0,70.06,no
284105538_0,151.87,no
28767220#0_0,48.58,no
294148768_0,18.87,no
294148769_0,12.86,no
294149881_0,14.36,no
295864510#0_0,89.93,no
31901962#1_0,112.39,no
32434209_0,36.29,no
32434222_0,25.06,no
331553004#0_0,42.9,no
332455374#1_0,72.7,no
332455398#1.16_0,82.93,no
334810149#0_0,15.76,no
334810149#1_0,91.5,no
33556413#0_0,30.12,no
33556413#1_0,9.68,no
33693780#0_0,81.72,no
33693780#2_0,23.57,no
33693780#4_0,46.06,no
33693799#0_0,85.34,no
33695352#0_0,69.29,no
33695402#0_0,88.98,no
341018763#0_0,70.57,no
35162766#0_0,193.01,no
35162767#0_0,38.34,no
35162767#1_0,84.32,no
35162947#0_0,99.71,no
35164367_0,31.02,no
361838934#0_0,84.9,no
361838934#1_0,32.44,no
361876821_0,97.23,no
371344296#0_0,33.65,no
371344296#1_0,46.09,no
371344296#2_0,14.45,no
374407128_0,71.32,no
374522039#0_0,36.76,no
374528655_0,30.16,no
37684124#0_0,124.77,no
381201436#0_0,92.24,no
381223036#0_0,168.89,no
39239530_0,20.87,no
395173267_0,72.87,no
398028002#0_0,77.16,no
41455289#0_0,125.01,no
41459881#0_0,32.88,no
41459882#0_0,22.58,no
423368254#0_0,82.06,no
423368254#2_0,121.98,no
43068084#0_0,107.16,no
4310927#1_0,310.91,no
4310928#0_0,294.21,no
4370800#0_0,248.61,no
4389421#0_0,116.79,no
4398888#0_0,81.12,no
4398951#0_0,40.88,no
4399120_0,47.26,no
4479820#0_0,42.47,no
4572089#0_0,74.4,no
4575015#0_0,85.21,no
461211027_0,24.77,no
461211028_0,15.48,no
46656282#0_0,62.53,no
4687935#0_0,78.34,no
4687956#0_0,203.96,no
4727535_0,19.98,no
4730406#0_0,81.93,no
4730406#0.80_0,83.74,no
4730408#2_0,262.78,no
4730409#0_0,257.16,no
4730416#1_0,38.16,no
4734974#0_0,26.3,no
4734976#0_0,45.58,no
4748727_0,18.94,no
4799417_0,18.2,no
4803559#0_0,69.14,no
4803560#2_0,60.79,no
48777366#0_0,60.4,no
4950245#0_0,160.7,no
496934557#0_0,67.93,no
498169246_0,31.9,no
506653388#0_0,111.4,no
5068112#0.550_0,67.21,no
5079287#0_0,48.27,no
51265912#1_0,105.42,no
5198100#0_0,84.79,no
525958045#0_0,189.12,no
526016651_0,67.74,no
526016653#2_0,39.87,no
527481483#0_0,76.31,no
532158277#0_0,86.89,no
532158278#0_0,72.95,no
53275982#0_0,15.59,no
533775756#0_0,127.07,no
534546682#0.18_0,40.79,no
534851512#0_0,92.09,no
543698012#0_0,80.48,no
543888804#0_0,26.04,no
543888805_0,100.99,no
544418922#0_0,137.03,no
548370028_0,32.5,no
548370029_0,55.01,no
548370030#0_0,40.22,no
548370031#1_0,29.42,no
548370032_0,16.98,no
548370035#0_0,42.28,no
548370037#0_0,55.72,no
548372837#0_0,85.13,no
548372838#0_0,87.6,no
549020386#0_0,143.99,no
549020386#1_0,65.65,no
549356141#0_0,16.48,no
549356141#1_0,13.22,no
550432833#0_0,36.23,no
550432838#0_0,119.78,no
550432840#0_0,39.94,no
550432841#0_0,46.78,no
555161515#0_0,113.92,no
558634424#0_0,95.24,no
559462254#0_0,73.64,no
559462255#0.13_0,77.62,no
563070453#0_0,113.12,no
565560611#0_0,128.04,no
566100279#0_0,91.57,no
566100297#0_0,72.83,no
566100297#2_0,20.95,no
566100297#3_0,23.76,no
566100297#4_0,45.33,no
566100297#6_0,96.65,no
569781024_0,199.81,no
576802235_0,34.88,no
5771348#0_0,51.13,no
5772335#0_0,263.72,no
577246823#0_0,40.94,no
577248827#1_0,70.14,no
580414174_0,61.05,no
592017400_0,128.53,no
593076011_0,30.15,no
593076012#0_0,117.75,no
593077123#0_0,134.94,no
595805217_0,29.58,no
596103315#0_0,146.65,no
601313557#0_0,75.73,no
601313558#0_0,52.24,no
601718666#0_0,93.77,no
60233930#0_0,98.57,no
602621673_0,39.43,no
602621681_0,57.59,no
60447874#0_0,19.04,no
60447874#2_0,171.49,no
60447876#0_0,101.73,no
60447877#0_0,31.12,no
60447877#1_0,53.86,no
60505837#0_0,61.31,no
64659700#1_0,58.6,no
651999512#0_0,74.27,no
682608864#0_0,17.93,no
682608864#1_0,12.93,no
682608867_0,22.09,no
69184467#1_0,31.03,no
69537613_0,69.31,no
71167245#0_0,12.16,no
722646198_0,19.4,no
77078537#0_0,54.28,no
77079364#0_0,66.88,no
77079366_0,90.85,no
81285058_0,50.16,no
81285068#0_0,29.42,no
8139899#0_0,18.69,no
8139899#1_0,66.03,no
821493797#0_0,32.62,no
828445693#1_0,98.24,no
860373105#0_0,48.97,no
860373105#1_0,40.49,no
860373105#2_0,67.44,no
86145639#0_0,27.39,no
86145639#1_0,57.97,no
86145639#3_0,103.7,no
889067535_0,36.3,no
92142133_0,108.87,no
92142136_0,79.71,no
92142139_0,12.12,no
942285773#0_0,45.73,no
942348910#0_0,53.79,no
95474067#0_0,70.78,no
968872142#0_0,11.07,no
968872142#1_0,14.52,no
968872143_0,45.71,no
970871268_0,132.82,no
970871269_0,128.75,no
E100_0,63.51,no
E101_0,102.2,no
E105_0,158.91,no
E109_0,56.63,no
E110_0,90.05,no
E111_0,82.88,no
E112_0,58.82,no
E116_0,112,no
E25_0,90.69,no
E27_0,113.51,no
E28_0,147.53,no
E29_0,64.3,no
E30_0,169.98,no
E34_0,63.95,no
E35_0,87.75,no
E36_0,75.25,no
E37_0,99.47,no
E40_0,72.16,no
E41_0,95.88,no
E42_0,104.4,no
E43_0,115.19,no
E44_0,123.5,no
E45_0,43.43,no
E46_0,100.55,no
E47_0,95.07,no
E48_0,67.97,no
E51_0,88.49,no
E52_0,42.23,no
E53_0,100.5,no
E54_0,87.95,no
E55_0,54.91,no
E56_0,123.4,no
E57_0,125.03,no
E62_0,33.27,no
E63_0,48.59,no
E65_0,178.76,no
E66_0,144.55,no
E71_0,76.31,no
E72_0,43.8,no
E73_0,39.29,no
E74_0,34.15,no
E75_0,74.68,no
E76_0,69.67,no
E77_0,49.93,no
E78_0,93.52,no
E79_0,96.26,no
E80_0,67.05,no
E81_0,93.49,no
E83_0,111.43,no
E84_0,54.44,no
E85_0,78.81,no
E86_0,54.44,no
E87_0,74.04,no
E89_0,44.23,no
E91_0,53.54,no
E92_0,28.25,no
E93_0,104.91,no
E95_0,91.09,no
E96_0,92.63,no
E98_0,167.2,no
E99_0,113.06,no
-1007827874#1_1,82.14,yes
-1011249147#0_1,16.68,yes
